Date,Close,Volume,Open,High,Low,Volatility
2024-05-03,183.38,163224100.0,186.65,187.0,182.66,
2024-05-02,173.03,94214920.0,172.51,173.42,170.89,
2024-05-01,169.3,50383150.0,169.58,172.71,169.11,
2024-04-30,170.33,65934780.0,173.33,174.99,170.0,
2024-04-29,173.5,68169420.0,173.37,176.03,173.1,
2024-04-26,169.3,44838350.0,169.88,171.34,169.18,
2024-04-25,169.89,50558330.0,169.53,170.61,168.15,5.0239455183578965
2024-04-24,169.02,48251840.0,166.54,169.3,166.21,1.8602943955446913
2024-04-23,166.9,49537760.0,165.35,167.05,164.92,1.9781677428993005
2024-04-22,165.84,48116440.0,165.52,167.26,164.77,2.478049348061547
2024-04-19,165.0,68149380.0,166.21,166.4,164.08,2.8788812311133665
2024-04-18,167.04,43122900.0,168.03,168.64,166.55,1.8621403455879273
2024-04-17,168.0,50901210.0,169.61,170.65,168.0,1.7202699123766074
2024-04-16,169.38,73711240.0,171.75,173.76,168.27,1.603282347471569
2024-04-15,172.69,73531770.0,175.36,176.63,172.5,2.566085586665987
2024-04-12,176.55,101670900.0,174.26,178.36,174.21,4.108299961228288
2024-04-11,175.04,91070280.0,168.34,175.46,168.16,4.315292298216593
2024-04-10,167.78,49709340.0,168.8,169.09,167.11,3.821342945191094
2024-04-09,169.67,42451210.0,168.7,170.08,168.35,3.490603713645269
2024-04-08,169.67,37425510.0,169.03,169.2,168.24,3.277946511664459
2024-04-05,169.58,42104830.0,169.59,170.39,168.95,3.256784859189729
2024-04-04,168.82,53704390.0,170.29,171.92,168.82,3.3614820994260435
2024-04-03,169.65,47691720.0,168.79,170.68,168.58,2.317786300186684
2024-04-02,168.84,49329480.0,169.08,169.34,168.23,0.7138360489367304
2024-04-01,170.03,46240500.0,171.19,171.25,169.48,0.4577793188443943
2024-03-28,171.48,65672690.0,171.75,172.23,170.51,0.8948902566395108
2024-03-27,173.31,60273270.0,170.41,173.6,170.11,1.6210372928349706
2024-03-26,169.71,57388450.0,170.0,171.42,169.58,1.61288266039111
2024-03-25,170.85,54288330.0,170.57,171.94,169.45,1.4878700020018565
2024-03-22,172.28,71160140.0,171.76,173.05,170.06,1.5525401612779208
2024-03-21,171.37,106181300.0,177.05,177.49,170.84,1.2503732775988594
2024-03-20,178.67,53423100.0,175.72,178.67,175.09,2.9323816096753283
2024-03-19,176.08,55215240.0,174.34,176.61,173.03,3.165514326674459
2024-03-18,173.72,75604180.0,175.57,177.71,173.52,3.172076081475187
2024-03-15,172.62,121752700.0,171.17,172.62,170.29,2.8013738126311587
2024-03-14,173.0,72913510.0,172.91,174.31,172.05,2.5489783200707947
2024-03-13,171.13,52488690.0,172.77,173.19,170.76,2.7076399845095196
2024-03-12,173.23,59825370.0,173.15,174.03,171.01,2.5139269224520153
2024-03-11,172.75,60139470.0,172.94,174.38,172.05,1.4959437218852734
2024-03-08,170.73,76267040.0,169.0,173.7,168.94,1.1062979879288495
2024-03-07,169.0,71765060.0,169.15,170.73,168.49,1.554069925496718
2024-03-06,169.12,68587710.0,171.06,171.24,168.68,1.7846941848208255
2024-03-05,170.12,95132360.0,170.76,172.04,169.62,1.64889284644196
2024-03-04,175.1,81510100.0,176.15,176.9,173.79,2.3057237268939867
2024-03-01,179.66,73563080.0,179.55,180.53,177.38,3.8818202652143494
2024-02-29,180.75,136682600.0,181.27,182.57,179.53,5.026591669265008
2024-02-28,181.42,48953940.0,182.51,183.12,180.13,5.633074522090888
2024-02-27,182.63,54318850.0,181.1,183.92,179.56,5.558844090190781
2024-02-26,181.16,40867420.0,182.24,182.76,180.65,4.483207291554715
2024-02-23,182.52,45119680.0,185.01,185.04,182.23,2.576099857573972
2024-02-22,184.37,52292210.0,183.48,184.96,182.46,1.5300949239158002
2024-02-21,182.32,41529670.0,181.94,182.89,180.66,1.2107534057463096
2024-02-20,181.56,53665550.0,181.79,182.43,180.0,1.084907281534372
2024-02-16,182.31,49752470.0,183.42,184.85,181.67,1.016956242914365
2024-02-15,183.86,65434500.0,183.55,184.49,181.35,1.1578119758540626
2024-02-14,184.15,54630520.0,185.32,185.53,182.44,1.0939487234447312
2024-02-13,185.04,56529530.0,185.77,186.21,183.51,1.2999706956413948
2024-02-12,187.15,41781930.0,188.42,188.67,186.79,1.9282116066455424
2024-02-09,188.85,45155220.0,188.65,189.99,188.0,2.5794166930127953
2024-02-08,188.32,40962050.0,189.39,189.54,187.35,2.469759965202465
2024-02-07,189.41,53438960.0,190.64,191.05,188.61,2.313552205921972
2024-02-06,189.3,43490760.0,186.86,189.31,186.77,2.112202641794264
2024-02-05,187.68,69668820.0,188.15,189.25,185.84,1.5319144573913372
