Date,Close_AAPL,Volume_AAPL,Open_AAPL,High_AAPL,Low_AAPL,Return_AAPL,Close_MSFT,Volume_MSFT,Open_MSFT,High_MSFT,Low_MSFT,Return_MSFT,YoY,InfChange
2014-05-31,2.3366923829118318e+24,3.894414727498849e+151,2.2331138236934885e+24,2.5766023097679576e+24,2.0494425614604765e+24,0.06500235515779518,1.0501661233266062e+29,2.657491148096439e+133,1.016408698085845e+29,1.1359740207527519e+29,8.893383425208156e+28,0.04813108038914371,2.127518,0.05025067580776055
2014-06-30,9.407035446008064e+28,8.125767814586955e+174,9.454776010171551e+28,1.0915675359554756e+29,8.060532464422802e+28,0.02742149491375523,1.4645929600482897e+34,1.3044595905218022e+155,1.4111258086879079e+34,1.605780165646263e+34,1.2186623332230168e+34,0.018563751831949693,2.142724,0.0071472955810480965
2014-07-31,5.224539404643568e+30,3.7151642691116704e+181,5.345839008439924e+30,6.208884578607419e+30,4.3867327736574567e+30,0.028842014636245805,1.579543335485573e+36,4.633128028304112e+164,1.596937177668867e+36,1.8513308124109985e+36,1.331778101840339e+36,0.03501199040767311,2.098319,-0.020723620960982236
2014-08-31,3.743070377452258e+29,9.040063917742892e+172,3.530290813918106e+29,4.105253732737651e+29,3.185771202514129e+29,0.07238493723849304,5.861657341120267e+34,7.047991249984337e+154,5.653198457332127e+34,6.407299202506955e+34,5.017665429850546e+34,0.05259499536607959,1.959017,-0.06638742726916169
2014-09-30,5.7843806812289175e+29,1.086899067218471e+177,5.852719303785106e+29,7.285011671312874e+29,4.743800871522141e+29,-0.01716738197424883,1.5589708426272958e+35,3.181086801244522e+158,1.451484590816693e+35,1.7214520445598515e+35,1.2976984873818905e+35,0.020471054369359365,1.95017,-0.004516040442732239
2014-10-31,5.0376397640157015e+32,1.3891910367779276e+192,4.96806478372131e+32,6.0386926157173276e+32,4.1414967175045415e+32,0.07185391028185761,1.9158492200504447e+38,5.254594053547246e+173,1.9006324890561006e+38,2.3747756770774807e+38,1.509772189387627e+38,0.012726488352027943,2.001463,0.02630180958583117
2014-11-30,7.459696491283721e+27,1.5923484928026925e+156,7.018453089974547e+27,8.326424938618699e+27,6.316470958670447e+27,0.10111111111111093,1.5165605539588763e+32,1.3948749677163343e+141,1.4855143363004325e+32,1.696281330212942e+32,1.2986122518900331e+32,0.01831735889243835,1.999147,-0.0011571535421840418
2014-12-31,1.6034451380176653e+32,4.571109131462732e+181,1.698859516494184e+32,2.150089330316725e+32,1.3000815421453722e+32,-0.07164480322906153,1.211223750255693e+37,1.8216214879613287e+163,1.2556905455349293e+37,1.5288625902920578e+37,1.0342545115072259e+37,-0.028445931813427805,1.961226,-0.01896859010367924
2015-01-31,1.387168949802504e+29,7.519914524980817e+167,1.5209709527986247e+29,1.8338271210398223e+29,1.1022912533183371e+29,0.06123188405797131,2.2002960673695995e+33,8.757551310650075e+151,2.3301117022999826e+33,2.802601453399826e+33,1.78735988638542e+33,-0.13024757804090425,1.976365,0.007719151184004236
2015-02-28,4.8312264218166345e+28,8.640823449039976e+158,4.549426362558553e+28,5.3590646302472955e+28,3.92732004385118e+28,0.09662000682826899,1.731642120880905e+31,9.359216796982146e+142,1.6713323039288793e+31,1.8835378075614195e+31,1.4497903107281978e+31,0.08539603960396125,1.972517,-0.0019470087762127886
2015-03-31,1.812679647182267e+33,3.7510750599869546e+182,1.9706897490159518e+33,2.3206727291548455e+33,1.53384775724424e+33,-0.031444582814445954,9.189647496919963e+35,1.6502170807443398e+166,9.232153499500727e+35,1.1245659964690387e+36,7.952176837165999e+35,-0.07286202964652233,1.989606,0.008663550174725865
2015-04-30,6.899988574520361e+31,9.285732612583253e+172,7.103129225700628e+31,8.20891286062238e+31,5.818262085362589e+31,0.005785920925747368,3.8846045882519047e+34,9.987069083118913e+158,3.2454536773852823e+34,4.413259519146308e+34,2.94214389345919e+34,0.19640880580494424,2.05371,0.03221944445282143
2015-05-31,2.627017767308879e+30,2.3707356724540347e+165,2.6054206913613584e+30,3.0557823482122e+30,2.224787880603848e+30,0.04090763822307397,5.239885068271884e+33,4.952530483690088e+149,5.366526256813057e+33,6.297107096153549e+33,4.5437332410352337e+33,-0.036595394736842146,2.056561,0.0013882193688494748
2015-06-30,2.4713399663971787e+33,1.794369744459889e+180,2.5788796079981953e+33,2.8974414395058945e+33,2.2495054822572114e+33,-0.03715075222597475,5.992289198679277e+36,1.4691772810718503e+164,6.402729139799778e+36,7.572994113269317e+36,5.245265695646229e+36,-0.05783183952198023,2.103732,0.02293683484224407
2015-07-31,1.6236101251797472e+33,3.125461931350872e+181,1.6561596286609346e+33,1.8815645501380518e+33,1.3701461098137385e+33,-0.03284438775510179,5.0677605793318306e+36,1.2649738962012975e+165,4.7730513076502925e+36,6.122594578007378e+36,4.064639528194329e+36,0.057757644394110574,2.130475,0.012712170561649527
2015-08-31,6.501192498493961e+30,2.0212607876779305e+177,6.513969147049042e+30,9.516623872713194e+30,4.3955578677628515e+30,-0.0705572040883613,1.0191005301364058e+35,8.32613540223342e+157,1.0363704390558085e+35,1.3527525007619707e+35,7.8147821136880785e+34,-0.06809421841541752,2.169207,0.018179983337049288
2015-09-30,5.902796577567269e+30,2.06742045478033e+175,6.133653361506573e+30,7.612314929687676e+30,4.691864856538211e+30,-0.021638879035119296,4.2397610362738825e+34,1.6936332680724027e+157,4.058573992010237e+34,5.137499613126261e+34,3.4274978804883685e+34,0.017003676470587648,2.268536,0.04579046628560568
2015-10-31,1.909190021462097e+32,2.3635398726948957e+182,1.7578532074427224e+32,2.203875232257116e+32,1.4412132762283677e+32,0.08339376359680961,2.009089943782313e+37,7.510626934904554e+165,1.7972011228759612e+37,2.3705226468968897e+37,1.5041637070197625e+37,0.1893357433348397,2.335492,0.02951507051243607
2015-11-30,4.961418079038858e+29,1.3261643459249443e+163,4.968289634828939e+29,5.944106470122745e+29,4.2749379901815186e+29,-0.010040160642570517,6.146947586013077e+34,7.3565228091756e+149,5.904092252487088e+34,7.058786950712126e+34,5.156595313630623e+34,0.03248480243161089,2.394625,0.025319290325122035
2015-12-31,1.3924539932394184e+32,1.6466491419078874e+180,1.5489986492691834e+32,1.7774193866649055e+32,1.154536448958138e+32,-0.11020960108181199,3.3635578895921176e+38,3.4955184034798404e+165,3.3999759219144983e+38,4.142392334540265e+38,2.7120923955706095e+38,0.02079116835326511,2.437497,0.017903429555776063
2016-01-31,5.7059394039737046e+26,7.068749452578548e+159,6.002562343694232e+26,7.54820441744022e+26,4.3138041152622734e+26,-0.0752279635258356,6.621808986928003e+32,4.95661991899954e+145,6.822393669950639e+32,8.397511364879046e+32,5.189280743477099e+32,-0.007029560201874618,2.460879,0.009592627190925684
2016-02-29,8.641617308353921e+27,1.0926285863833721e+164,8.552758333372878e+27,1.0515726561820173e+28,7.007090593239886e+27,-0.0069843878389480585,2.4022026284949067e+34,6.888864810032444e+151,2.5764328687548593e+34,3.0914985580717738e+34,1.8826325690832007e+34,-0.07642040297694708,2.538253,0.03144161090407138
2016-03-31,3.242820047789051e+31,4.298546070000341e+178,2.9547425831542518e+31,3.683965642511552e+31,2.6221968586863044e+31,0.12743069921390116,1.5080131928954912e+38,5.6308459370321785e+163,1.3765763663662072e+38,1.752637088047533e+38,1.1474802863544896e+38,0.08549528301886822,2.526214,-0.004743026010409546
2016-04-30,1.8937518023421084e+30,4.144682117868126e+171,1.9131487556271146e+30,2.3015197964176063e+30,1.5982804138619833e+30,-0.13981651376146764,3.5488114475219357e+36,6.472373520078544e+156,3.589333261587932e+36,4.1982941024783365e+36,2.9312240188612654e+36,-0.09704870541372423,2.53143,0.002064749858879722
2016-05-31,1.817449677099654e+29,4.203243362557118e+172,1.8131362778533033e+29,2.1187956240422222e+29,1.4916857305249008e+29,0.06527303754266178,1.0701150175658687e+36,1.952031844437533e+155,1.0202724502857836e+36,1.2379581463099166e+36,8.83147096462957e+35,0.06276318427912586,2.565678,0.013529112003887178
2016-06-30,6.498538080043769e+30,7.384910075315237e+178,6.446461927292415e+30,7.809203779884117e+30,5.626417000055448e+30,-0.0428514217060475,5.434137315577172e+37,2.171147014415285e+165,5.164023270275919e+37,6.41600183570612e+37,4.517594641497159e+37,-0.034528301886792345,2.563629,-0.0007986193123220575
2016-07-31,1.4996170304274857e+28,1.304106173309011e+162,1.467432651299164e+28,1.686376449525323e+28,1.3443968384199645e+28,0.08995815899581627,6.568874683334318e+34,3.7418232904110176e+149,6.343819692818302e+34,7.379291734670499e+34,5.696117868736301e+34,0.10768028141489139,2.569655,0.0023505741275355874
2016-08-31,1.7961886966397882e+33,5.500338498258271e+184,1.7231558255597683e+33,1.980554389659152e+33,1.559810006190019e+33,0.018426103646832948,4.80081015555906e+40,6.041099353748414e+167,4.703708503080719e+40,5.253866498914172e+40,4.26358152061231e+40,0.013761467889907397,2.716347,0.05708626255275506
2016-09-30,4.127082564995058e+30,5.1556908571340544e+172,3.9900956769725924e+30,4.856728583853781e+30,3.4039463822642574e+30,0.06520919713531903,1.1941207360588897e+37,1.1327044320649899e+155,1.1761598863749317e+37,1.3556266533429976e+37,1.0259267388228839e+37,0.002436477549599525,2.624799,-0.03370261605015856
2016-10-31,9.921682603330705e+30,6.242781923986887e+169,9.991629580923522e+30,1.1181671662768626e+31,8.666189037882404e+30,0.00460014154281696,1.764512973698108e+37,8.738188077876144e+155,1.7777656650023633e+37,2.0124166414058276e+37,1.5628457554443704e+37,0.04027777777777719,2.502268,-0.0466820507017871
2016-11-30,3.660707071642444e+30,1.9758964432531148e+170,3.60973192802144e+30,4.3302356498516783e+30,2.9475270087153474e+30,-0.026769989432898655,3.018922024162365e+37,1.1735768095235542e+156,3.0538496623793334e+37,3.541107290240072e+37,2.547264583256571e+37,0.005674232309745841,2.518564,0.006512491867378012
